"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,form_1,,text,"Record ID",,,,,,,,,,,,,
role,form_1,,radio,"What is your role?","1, Physician | 2, Medical student | 3, Research Coordinator | 4, Advanced practice provider (NP/PA)",,,,,,,,,,,,
edss_familiarity,form_1,,radio,"Please the statement that best charactertizes your familiarity with the EDSS","1, None - I do not know how the EDSS works | 2, Basic familiarity  - I know the purpose of the EDSS | 3, Moderate familiarity - I know the main functional systems and approximate scoring rules | 4, High familiarity - I understand the scoring structure and thresholds in detail",,,,,,,,,,,,
edss_experience,form_1,,radio,"Please select what best describes your experience with EDSS scoring","1, None | 2, Minimal (≤10 EDSS performed) | 4, Moderate (10-50 EDSS performed) | 5, Extensive (>50 EDSS performed)",,,,,,,,,,,,
workflow,form_1,"For each statement, rate your level of agreement:",radio,"The overall workflow of the automated CIRCLE tool was easy to follow.","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
wording,form_1,,radio,"The questions were clearly worded and easy to understand","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
field_notes,form_1,,radio,"The instructions and field notes were sufficient for me to understand how to score each functional system","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
calc,form_1,,radio,"The automated calculations (FS scores and final EDSS) were clear","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
accuracy,form_1,,radio,"I felt confident that the automated tool produced an accurate EDSS score","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
error,form_1,,radio,"Using the automated tool reduced the likelihood of scoring errors","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
time,form_1,,radio,"The amount of time required per chart was reasonable","1, Strongly Disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly Agree",,,,,,,,,,ease_of_use,,
how_long,form_1,,radio,"On average, how long does it take you to complete one chart using the automated CIRCLE tool?","1, <2 minutes | 2, 2-5 minutes | 3, 5-10 minutes | 4, >10 minutes | 5, Not sure / varies widely",,,,,,,,,,,,
feedback_good,form_1,,text,"What aspects of the automated tool worked particularly well?",,,,,,,,,,,,,
feedback_bad,form_1,,text,"What aspects were confusing or difficult to use?",,,,,,,,,,,,,
improvements,form_1,,text,"What improvements would you suggest for future versions of the tool?",,,,,,,,,,,,,
